"id","disease","code","disease_group_id","disease_group_code","block_code","chapter_id","block_id","level","place_of_class","type_of_code","code_1","code_2","field_11","field_12","field_13","field_14"
"5103","Erythematous condition, unspecified","L53.9","1306","L53","L50","12","199","4","T","X","L53.9","L539","4-044","3-059","2-072","1-082"
"5104","Erythema in diseases classified elsewhere","L54","1307","L54","L50","12","199","3","N","X","L54.-*","L54","4-044","3-059","2-072","1-082"
"5105","Erythema marginatum in acute rheumatic fever","L54.0","1307","L54","L50","12","199","4","T","X","L54.0*","L540","4-044","3-059","2-072","1-082"
"5106","Erythema in other diseases classified elsewhere","L54.8","1307","L54","L50","12","199","4","T","X","L54.8*","L548","4-044","3-059","2-072","1-082"
"5107","Sunburn","L55","1308","L55","L55","12","199","3","N","X","L55.-","L55","4-044","3-059","2-072","1-082"
"5108","Sunburn of first degree","L55.0","1308","L55","L55","12","199","4","T","X","L55.0","L550","4-044","3-059","2-072","1-082"
"5109","Sunburn of second degree","L55.1","1308","L55","L55","12","199","4","T","X","L55.1","L551","4-044","3-059","2-072","1-082"
"5110","Sunburn of third degree","L55.2","1308","L55","L55","12","199","4","T","X","L55.2","L552","4-044","3-059","2-072","1-082"
"5111","Other sunburn","L55.8","1308","L55","L55","12","199","4","T","X","L55.8","L558","4-044","3-059","2-072","1-082"
"5112","Sunburn, unspecified","L55.9","1308","L55","L55","12","199","4","T","X","L55.9","L559","4-044","3-059","2-072","1-082"
"5113","Other acute skin changes due to ultraviolet radiation","L56","1309","L56","L55","12","199","3","N","X","L56.-","L56","4-044","3-059","2-072","1-082"
"5114","Drug phototoxic response","L56.0","1309","L56","L55","12","199","4","T","X","L56.0","L560","4-044","3-059","2-072","1-082"
"5115","Drug photoallergic response","L56.1","1309","L56","L55","12","199","4","T","X","L56.1","L561","4-044","3-059","2-072","1-082"
"5116","Photocontact dermatitis [berloque dermatitis]","L56.2","1309","L56","L55","12","199","4","T","X","L56.2","L562","4-044","3-059","2-072","1-082"
"5117","Solar urticaria","L56.3","1309","L56","L55","12","199","4","T","X","L56.3","L563","4-044","3-059","2-072","1-082"
"5118","Polymorphous light eruption","L56.4","1309","L56","L55","12","199","4","T","X","L56.4","L564","4-044","3-059","2-072","1-082"
"5119","Other specified acute skin changes due to ultraviolet radiation","L56.8","1309","L56","L55","12","199","4","T","X","L56.8","L568","4-044","3-059","2-072","1-082"
"5120","Acute skin change due to ultraviolet radiation, unspecified","L56.9","1309","L56","L55","12","199","4","T","X","L56.9","L569","4-044","3-059","2-072","1-082"
"5121","Skin changes due to chronic exposure to nonionizing radiation","L57","1310","L57","L55","12","199","3","N","X","L57.-","L57","4-044","3-059","2-072","1-082"
"5122","Actinic keratosis","L57.0","1310","L57","L55","12","199","4","T","X","L57.0","L570","4-044","3-059","2-072","1-082"
"5123","Actinic reticuloid","L57.1","1310","L57","L55","12","199","4","T","X","L57.1","L571","4-044","3-059","2-072","1-082"
"5124","Cutis rhomboidalis nuchae","L57.2","1310","L57","L55","12","199","4","T","X","L57.2","L572","4-044","3-059","2-072","1-082"
"5125","Poikiloderma of Civatte","L57.3","1310","L57","L55","12","199","4","T","X","L57.3","L573","4-044","3-059","2-072","1-082"
"5126","Cutis laxa senilis","L57.4","1310","L57","L55","12","199","4","T","X","L57.4","L574","4-044","3-059","2-072","1-082"
"5127","Actinic granuloma","L57.5","1310","L57","L55","12","199","4","T","X","L57.5","L575","4-044","3-059","2-072","1-082"
"5128","Other skin changes due to chronic exposure to nonionizing radiation","L57.8","1310","L57","L55","12","199","4","T","X","L57.8","L578","4-044","3-059","2-072","1-082"
"5129","Skin changes due to chronic exposure to nonionizing radiation, unspecified","L57.9","1310","L57","L55","12","199","4","T","X","L57.9","L579","4-044","3-059","2-072","1-082"
"5130","Radiodermatitis","L58","1311","L58","L55","12","199","3","N","X","L58.-","L58","4-044","3-059","2-072","1-082"
"5131","Acute radiodermatitis","L58.0","1311","L58","L55","12","199","4","T","X","L58.0","L580","4-044","3-059","2-072","1-082"
"5132","Chronic radiodermatitis","L58.1","1311","L58","L55","12","199","4","T","X","L58.1","L581","4-044","3-059","2-072","1-082"
"5133","Radiodermatitis, unspecified","L58.9","1311","L58","L55","12","199","4","T","X","L58.9","L589","4-044","3-059","2-072","1-082"
"5134","Other disorders of skin and subcutaneous tissue related to radiation","L59","1312","L59","L55","12","199","3","N","X","L59.-","L59","4-044","3-059","2-072","1-082"
"5135","Erythema ab igne [dermatitis ab igne]","L59.0","1312","L59","L55","12","199","4","T","X","L59.0","L590","4-044","3-059","2-072","1-082"
"5136","Other specified disorders of skin and subcutaneous tissue related to radiation","L59.8","1312","L59","L55","12","199","4","T","X","L59.8","L598","4-044","3-059","2-072","1-082"
"5137","Disorder of skin and subcutaneous tissue related to radiation, unspecified","L59.9","1312","L59","L55","12","199","4","T","X","L59.9","L599","4-044","3-059","2-072","1-082"
"5138","Nail disorders","L60","1313","L60","L60","12","199","3","N","X","L60.-","L60","4-044","3-059","2-072","1-082"
"5139","Ingrowing nail","L60.0","1313","L60","L60","12","199","4","T","X","L60.0","L600","4-044","3-059","2-072","1-082"
"5140","Onycholysis","L60.1","1313","L60","L60","12","199","4","T","X","L60.1","L601","4-044","3-059","2-072","1-082"
"5141","Onychogryphosis","L60.2","1313","L60","L60","12","199","4","T","X","L60.2","L602","4-044","3-059","2-072","1-082"
"5142","Nail dystrophy","L60.3","1313","L60","L60","12","199","4","T","X","L60.3","L603","4-044","3-059","2-072","1-082"
"5143","Beau lines","L60.4","1313","L60","L60","12","199","4","T","X","L60.4","L604","4-044","3-059","2-072","1-082"
"5144","Yellow nail syndrome","L60.5","1313","L60","L60","12","199","4","T","X","L60.5","L605","4-044","3-059","2-072","1-082"
"5145","Other nail disorders","L60.8","1313","L60","L60","12","199","4","T","X","L60.8","L608","4-044","3-059","2-072","1-082"
"5146","Nail disorder, unspecified","L60.9","1313","L60","L60","12","199","4","T","X","L60.9","L609","4-044","3-059","2-072","1-082"
"5147","Nail disorders in diseases classified elsewhere","L62","1314","L62","L60","12","199","3","N","X","L62.-*","L62","4-044","3-059","2-072","1-082"
"5148","Clubbed nail pachydermoperiostosis","L62.0","1314","L62","L60","12","199","4","T","X","L62.0*","L620","4-044","3-059","2-072","1-082"
"5149","Nail disorders in other diseases classified elsewhere","L62.8","1314","L62","L60","12","199","4","T","X","L62.8*","L628","4-044","3-059","2-072","1-082"
"5150","Alopecia areata","L63","1315","L63","L60","12","199","3","N","X","L63.-","L63","4-044","3-059","2-072","1-082"
"5151","Alopecia (capitis) totalis","L63.0","1315","L63","L60","12","199","4","T","X","L63.0","L630","4-044","3-059","2-072","1-082"
"5152","Alopecia universalis","L63.1","1315","L63","L60","12","199","4","T","X","L63.1","L631","4-044","3-059","2-072","1-082"
"5153","Ophiasis","L63.2","1315","L63","L60","12","199","4","T","X","L63.2","L632","4-044","3-059","2-072","1-082"
"5154","Other alopecia areata","L63.8","1315","L63","L60","12","199","4","T","X","L63.8","L638","4-044","3-059","2-072","1-082"
"5155","Alopecia areata, unspecified","L63.9","1315","L63","L60","12","199","4","T","X","L63.9","L639","4-044","3-059","2-072","1-082"
"5156","Androgenic alopecia","L64","1316","L64","L60","12","199","3","N","X","L64.-","L64","4-044","3-059","2-072","1-082"
"5157","Drug-induced androgenic alopecia","L64.0","1316","L64","L60","12","199","4","T","X","L64.0","L640","4-044","3-059","2-072","1-082"
"5158","Other androgenic alopecia","L64.8","1316","L64","L60","12","199","4","T","X","L64.8","L648","4-044","3-059","2-072","1-082"
"5159","Androgenic alopecia, unspecified","L64.9","1316","L64","L60","12","199","4","T","X","L64.9","L649","4-044","3-059","2-072","1-082"
"5160","Other nonscarring hair loss","L65","1317","L65","L60","12","199","3","N","X","L65.-","L65","4-044","3-059","2-072","1-082"
"5161","Telogen effluvium","L65.0","1317","L65","L60","12","199","4","T","X","L65.0","L650","4-044","3-059","2-072","1-082"
"5162","Anagen effluvium","L65.1","1317","L65","L60","12","199","4","T","X","L65.1","L651","4-044","3-059","2-072","1-082"
"5163","Alopecia mucinosa","L65.2","1317","L65","L60","12","199","4","T","X","L65.2","L652","4-044","3-059","2-072","1-082"
"5164","Other specified nonscarring hair loss","L65.8","1317","L65","L60","12","199","4","T","X","L65.8","L658","4-044","3-059","2-072","1-082"
"5165","Nonscarring hair loss, unspecified","L65.9","1317","L65","L60","12","199","4","T","X","L65.9","L659","4-044","3-059","2-072","1-082"
"5166","Cicatricial alopecia [scarring hair loss]","L66","1318","L66","L60","12","199","3","N","X","L66.-","L66","4-044","3-059","2-072","1-082"
"5167","Pseudopelade","L66.0","1318","L66","L60","12","199","4","T","X","L66.0","L660","4-044","3-059","2-072","1-082"
"5168","Lichen planopilaris","L66.1","1318","L66","L60","12","199","4","T","X","L66.1","L661","4-044","3-059","2-072","1-082"
"5169","Folliculitis decalvans","L66.2","1318","L66","L60","12","199","4","T","X","L66.2","L662","4-044","3-059","2-072","1-082"
"5170","Perifolliculitis capitis abscedens","L66.3","1318","L66","L60","12","199","4","T","X","L66.3","L663","4-044","3-059","2-072","1-082"
"5171","Folliculitis ulerythematosa reticulata","L66.4","1318","L66","L60","12","199","4","T","X","L66.4","L664","4-044","3-059","2-072","1-082"
"5172","Other cicatricial alopecia","L66.8","1318","L66","L60","12","199","4","T","X","L66.8","L668","4-044","3-059","2-072","1-082"
"5173","Cicatricial alopecia, unspecified","L66.9","1318","L66","L60","12","199","4","T","X","L66.9","L669","4-044","3-059","2-072","1-082"
"5174","Hair colour and hair shaft abnormalities","L67","1319","L67","L60","12","199","3","N","X","L67.-","L67","4-044","3-059","2-072","1-082"
"5175","Trichorrhexis nodosa","L67.0","1319","L67","L60","12","199","4","T","X","L67.0","L670","4-044","3-059","2-072","1-082"
"5176","Variations in hair colour","L67.1","1319","L67","L60","12","199","4","T","X","L67.1","L671","4-044","3-059","2-072","1-082"
"5177","Other hair colour and hair shaft abnormalities","L67.8","1319","L67","L60","12","199","4","T","X","L67.8","L678","4-044","3-059","2-072","1-082"
"5178","Hair colour and hair shaft abnormality, unspecified","L67.9","1319","L67","L60","12","199","4","T","X","L67.9","L679","4-044","3-059","2-072","1-082"
"5179","Hypertrichosis","L68","1320","L68","L60","12","199","3","N","X","L68.-","L68","4-044","3-059","2-072","1-082"
"5180","Hirsutism","L68.0","1320","L68","L60","12","199","4","T","X","L68.0","L680","4-044","3-059","2-072","1-082"
"5181","Acquired hypertrichosis lanuginosa","L68.1","1320","L68","L60","12","199","4","T","X","L68.1","L681","4-044","3-059","2-072","1-082"
"5182","Localized hypertrichosis","L68.2","1320","L68","L60","12","199","4","T","X","L68.2","L682","4-044","3-059","2-072","1-082"
"5183","Polytrichia","L68.3","1320","L68","L60","12","199","4","T","X","L68.3","L683","4-044","3-059","2-072","1-082"
"5184","Other hypertrichosis","L68.8","1320","L68","L60","12","199","4","T","X","L68.8","L688","4-044","3-059","2-072","1-082"
"5185","Hypertrichosis, unspecified","L68.9","1320","L68","L60","12","199","4","T","X","L68.9","L689","4-044","3-059","2-072","1-082"
"5186","Acne","L70","1321","L70","L60","12","199","3","N","X","L70.-","L70","4-044","3-059","2-072","1-082"
"5187","Acne vulgaris","L70.0","1321","L70","L60","12","199","4","T","X","L70.0","L700","4-044","3-059","2-072","1-082"
"5188","Acne conglobata","L70.1","1321","L70","L60","12","199","4","T","X","L70.1","L701","4-044","3-059","2-072","1-082"
"5189","Acne varioliformis","L70.2","1321","L70","L60","12","199","4","T","X","L70.2","L702","4-044","3-059","2-072","1-082"
"5190","Acne tropica","L70.3","1321","L70","L60","12","199","4","T","X","L70.3","L703","4-044","3-059","2-072","1-082"
"5191","Infantile acne","L70.4","1321","L70","L60","12","199","4","T","X","L70.4","L704","4-044","3-059","2-072","1-082"
"5192","Acn? excori?e des jeunes filles","L70.5","1321","L70","L60","12","199","4","T","X","L70.5","L705","4-044","3-059","2-072","1-082"
"5193","Other acne","L70.8","1321","L70","L60","12","199","4","T","X","L70.8","L708","4-044","3-059","2-072","1-082"
"5194","Acne, unspecified","L70.9","1321","L70","L60","12","199","4","T","X","L70.9","L709","4-044","3-059","2-072","1-082"
"5195","Rosacea","L71","1322","L71","L60","12","199","3","N","X","L71.-","L71","4-044","3-059","2-072","1-082"
"5196","Perioral dermatitis","L71.0","1322","L71","L60","12","199","4","T","X","L71.0","L710","4-044","3-059","2-072","1-082"
"5197","Rhinophyma","L71.1","1322","L71","L60","12","199","4","T","X","L71.1","L711","4-044","3-059","2-072","1-082"
"5198","Other rosacea","L71.8","1322","L71","L60","12","199","4","T","X","L71.8","L718","4-044","3-059","2-072","1-082"
"5199","Rosacea, unspecified","L71.9","1322","L71","L60","12","199","4","T","X","L71.9","L719","4-044","3-059","2-072","1-082"
"5200","Follicular cysts of skin and subcutaneous tissue","L72","1323","L72","L60","12","199","3","N","X","L72.-","L72","4-044","3-059","2-072","1-082"
"5201","Epidermal cyst","L72.0","1323","L72","L60","12","199","4","T","X","L72.0","L720","4-044","3-059","2-072","1-082"
"5202","Trichilemmal cyst","L72.1","1323","L72","L60","12","199","4","T","X","L72.1","L721","4-044","3-059","2-072","1-082"
"5203","Steatocystoma multiplex","L72.2","1323","L72","L60","12","199","4","T","X","L72.2","L722","4-044","3-059","2-072","1-082"
"5204","Other follicular cysts of skin and subcutaneous tissue","L72.8","1323","L72","L60","12","199","4","T","X","L72.8","L728","4-044","3-059","2-072","1-082"
"5205","Follicular cyst of skin and subcutaneous tissue, unspecified","L72.9","1323","L72","L60","12","199","4","T","X","L72.9","L729","4-044","3-059","2-072","1-082"
"5206","Other follicular disorders","L73","1324","L73","L60","12","199","3","N","X","L73.-","L73","4-044","3-059","2-072","1-082"
"5207","Acne keloid","L73.0","1324","L73","L60","12","199","4","T","X","L73.0","L730","4-044","3-059","2-072","1-082"
"5208","Pseudofolliculitis barbae","L73.1","1324","L73","L60","12","199","4","T","X","L73.1","L731","4-044","3-059","2-072","1-082"
"5209","Hidradenitis suppurativa","L73.2","1324","L73","L60","12","199","4","T","X","L73.2","L732","4-044","3-059","2-072","1-082"
"5210","Other specified follicular disorders","L73.8","1324","L73","L60","12","199","4","T","X","L73.8","L738","4-044","3-059","2-072","1-082"
"5211","Follicular disorder, unspecified","L73.9","1324","L73","L60","12","199","4","T","X","L73.9","L739","4-044","3-059","2-072","1-082"
"5212","Eccrine sweat disorders","L74","1325","L74","L60","12","199","3","N","X","L74.-","L74","4-044","3-059","2-072","1-082"
"5213","Miliaria rubra","L74.0","1325","L74","L60","12","199","4","T","X","L74.0","L740","4-044","3-059","2-072","1-082"
"5214","Miliaria crystallina","L74.1","1325","L74","L60","12","199","4","T","X","L74.1","L741","4-044","3-059","2-072","1-082"
"5215","Miliaria profunda","L74.2","1325","L74","L60","12","199","4","T","X","L74.2","L742","4-044","3-059","2-072","1-082"
"5216","Miliaria, unspecified","L74.3","1325","L74","L60","12","199","4","T","X","L74.3","L743","4-044","3-059","2-072","1-082"
"5217","Anhidrosis","L74.4","1325","L74","L60","12","199","4","T","X","L74.4","L744","4-044","3-059","2-072","1-082"
"5218","Other eccrine sweat disorders","L74.8","1325","L74","L60","12","199","4","T","X","L74.8","L748","4-044","3-059","2-072","1-082"
"5219","Eccrine sweat disorder, unspecified","L74.9","1325","L74","L60","12","199","4","T","X","L74.9","L749","4-044","3-059","2-072","1-082"
"5220","Apocrine sweat disorders","L75","1326","L75","L60","12","199","3","N","X","L75.-","L75","4-044","3-059","2-072","1-082"
"5221","Bromhidrosis","L75.0","1326","L75","L60","12","199","4","T","X","L75.0","L750","4-044","3-059","2-072","1-082"
"5222","Chromhidrosis","L75.1","1326","L75","L60","12","199","4","T","X","L75.1","L751","4-044","3-059","2-072","1-082"
"5223","Apocrine miliaria","L75.2","1326","L75","L60","12","199","4","T","X","L75.2","L752","4-044","3-059","2-072","1-082"
"5224","Other apocrine sweat disorders","L75.8","1326","L75","L60","12","199","4","T","X","L75.8","L758","4-044","3-059","2-072","1-082"
"5225","Apocrine sweat disorder, unspecified","L75.9","1326","L75","L60","12","199","4","T","X","L75.9","L759","4-044","3-059","2-072","1-082"
"5226","Vitiligo","L80","1327","L80","L80","12","199","3","T","X","L80","L80","4-044","3-059","2-072","1-082"
"5227","Other disorders of pigmentation","L81","1328","L81","L80","12","199","3","N","X","L81.-","L81","4-044","3-059","2-072","1-082"
"5228","Postinflammatory hyperpigmentation","L81.0","1328","L81","L80","12","199","4","T","X","L81.0","L810","4-044","3-059","2-072","1-082"
"5229","Chloasma","L81.1","1328","L81","L80","12","199","4","T","X","L81.1","L811","4-044","3-059","2-072","1-082"
"5230","Freckles","L81.2","1328","L81","L80","12","199","4","T","X","L81.2","L812","4-044","3-059","2-072","1-082"
"5231","Caf? au lait spots","L81.3","1328","L81","L80","12","199","4","T","X","L81.3","L813","4-044","3-059","2-072","1-082"
"5232","Other melanin hyperpigmentation","L81.4","1328","L81","L80","12","199","4","T","X","L81.4","L814","4-044","3-059","2-072","1-082"
"5233","Leukoderma, not elsewhere classified","L81.5","1328","L81","L80","12","199","4","T","X","L81.5","L815","4-044","3-059","2-072","1-082"
"5234","Other disorders of diminished melanin formation","L81.6","1328","L81","L80","12","199","4","T","X","L81.6","L816","4-044","3-059","2-072","1-082"
"5235","Pigmented purpuric dermatosis","L81.7","1328","L81","L80","12","199","4","T","X","L81.7","L817","4-044","3-059","2-072","1-082"
"5236","Other specified disorders of pigmentation","L81.8","1328","L81","L80","12","199","4","T","X","L81.8","L818","4-044","3-059","2-072","1-082"
"5237","Disorder of pigmentation, unspecified","L81.9","1328","L81","L80","12","199","4","T","X","L81.9","L819","4-044","3-059","2-072","1-082"
"5238","Seborrhoeic keratosis","L82","1329","L82","L80","12","199","3","T","X","L82","L82","4-044","3-059","2-072","1-082"
"5239","Acanthosis nigricans","L83","1330","L83","L80","12","199","3","T","X","L83","L83","4-044","3-059","2-072","1-082"
"5240","Corns and callosities","L84","1331","L84","L80","12","199","3","T","X","L84","L84","4-044","3-059","2-072","1-082"
"5241","Other epidermal thickening","L85","1332","L85","L80","12","199","3","N","X","L85.-","L85","4-044","3-059","2-072","1-082"
"5242","Acquired ichthyosis","L85.0","1332","L85","L80","12","199","4","T","X","L85.0","L850","4-044","3-059","2-072","1-082"
"5243","Acquired keratosis [keratoderma] palmaris et plantaris","L85.1","1332","L85","L80","12","199","4","T","X","L85.1","L851","4-044","3-059","2-072","1-082"
"5244","Keratosis punctata (palmaris et plantaris)","L85.2","1332","L85","L80","12","199","4","T","X","L85.2","L852","4-044","3-059","2-072","1-082"
"5245","Xerosis cutis","L85.3","1332","L85","L80","12","199","4","T","X","L85.3","L853","4-044","3-059","2-072","1-082"
"5246","Other specified epidermal thickening","L85.8","1332","L85","L80","12","199","4","T","X","L85.8","L858","4-044","3-059","2-072","1-082"
"5247","Epidermal thickening, unspecified","L85.9","1332","L85","L80","12","199","4","T","X","L85.9","L859","4-044","3-059","2-072","1-082"
"5248","Keratoderma in diseases classified elsewhere","L86","1333","L86","L80","12","199","3","T","X","L86*","L86","4-044","3-059","2-072","1-082"
"5249","Transepidermal elimination disorders","L87","1334","L87","L80","12","199","3","N","X","L87.-","L87","4-044","3-059","2-072","1-082"
"5250","Keratosis follicularis et parafollicularis in cutem penetrans [Kyrle]","L87.0","1334","L87","L80","12","199","4","T","X","L87.0","L870","4-044","3-059","2-072","1-082"
"5251","Reactive perforating collagenosis","L87.1","1334","L87","L80","12","199","4","T","X","L87.1","L871","4-044","3-059","2-072","1-082"
"5252","Elastosis perforans serpiginosa","L87.2","1334","L87","L80","12","199","4","T","X","L87.2","L872","4-044","3-059","2-072","1-082"
"5253","Other transepidermal elimination disorders","L87.8","1334","L87","L80","12","199","4","T","X","L87.8","L878","4-044","3-059","2-072","1-082"
"5254","Transepidermal elimination disorder, unspecified","L87.9","1334","L87","L80","12","199","4","T","X","L87.9","L879","4-044","3-059","2-072","1-082"
"5255","Pyoderma gangrenosum","L88","1335","L88","L80","12","199","3","T","X","L88","L88","4-044","3-059","2-072","1-082"
"5256","Decubitus ulcer and pressure area","L89","1336","L89","L80","12","199","3","N","X","L89.-","L89","4-044","3-059","2-072","1-082"
"5257","Stage I decubitus ulcer and pressure area","L89.0","1336","L89","L80","12","199","4","T","X","L89.0","L890","4-044","3-059","2-072","1-082"
"5258","Stage II decubitus ulcer","L89.1","1336","L89","L80","12","199","4","T","X","L89.1","L891","4-044","3-059","2-072","1-082"
"5259","Stage III decubitus ulcer","L89.2","1336","L89","L80","12","199","4","T","X","L89.2","L892","4-044","3-059","2-072","1-082"
"5260","Stage IV decubitus ulcer","L89.3","1336","L89","L80","12","199","4","T","X","L89.3","L893","4-044","3-059","2-072","1-082"
"5261","Decubitus ulcer and pressure area, unspecified","L89.9","1336","L89","L80","12","199","4","T","X","L89.9","L899","4-044","3-059","2-072","1-082"
"5262","Atrophic disorders of skin","L90","1337","L90","L80","12","199","3","N","X","L90.-","L90","4-044","3-059","2-072","1-082"
"5263","Lichen sclerosus et atrophicus","L90.0","1337","L90","L80","12","199","4","T","X","L90.0","L900","4-044","3-059","2-072","1-082"
"5264","Anetoderma of Schweninger-Buzzi","L90.1","1337","L90","L80","12","199","4","T","X","L90.1","L901","4-044","3-059","2-072","1-082"
"5265","Anetoderma of Jadassohn-Pellizzari","L90.2","1337","L90","L80","12","199","4","T","X","L90.2","L902","4-044","3-059","2-072","1-082"
"5266","Atrophoderma of Pasini and Pierini","L90.3","1337","L90","L80","12","199","4","T","X","L90.3","L903","4-044","3-059","2-072","1-082"
"5267","Acrodermatitis chronica atrophicans","L90.4","1337","L90","L80","12","199","4","T","X","L90.4","L904","4-044","3-059","2-072","1-082"
"5268","Scar conditions and fibrosis of skin","L90.5","1337","L90","L80","12","199","4","T","X","L90.5","L905","4-044","3-059","2-072","1-082"
"5269","Striae atrophicae","L90.6","1337","L90","L80","12","199","4","T","X","L90.6","L906","4-044","3-059","2-072","1-082"
"5270","Other atrophic disorders of skin","L90.8","1337","L90","L80","12","199","4","T","X","L90.8","L908","4-044","3-059","2-072","1-082"
"5271","Atrophic disorder of skin, unspecified","L90.9","1337","L90","L80","12","199","4","T","X","L90.9","L909","4-044","3-059","2-072","1-082"
"5272","Hypertrophic disorders of skin","L91","1338","L91","L80","12","199","3","N","X","L91.-","L91","4-044","3-059","2-072","1-082"
"5273","Hypertrophic scar","L91.0","1338","L91","L80","12","199","4","T","X","L91.0","L910","4-044","3-059","2-072","1-082"
"5274","Other hypertrophic disorders of skin","L91.8","1338","L91","L80","12","199","4","T","X","L91.8","L918","4-044","3-059","2-072","1-082"
"5275","Hypertrophic disorder of skin, unspecified","L91.9","1338","L91","L80","12","199","4","T","X","L91.9","L919","4-044","3-059","2-072","1-082"
"5276","Granulomatous disorders of skin and subcutaneous tissue","L92","1339","L92","L80","12","199","3","N","X","L92.-","L92","4-044","3-059","2-072","1-082"
"5277","Granuloma annulare","L92.0","1339","L92","L80","12","199","4","T","X","L92.0","L920","4-044","3-059","2-072","1-082"
"5278","Necrobiosis lipoidica, not elsewhere classified","L92.1","1339","L92","L80","12","199","4","T","X","L92.1","L921","4-044","3-059","2-072","1-082"
"5279","Granuloma faciale [eosinophilic granuloma of skin]","L92.2","1339","L92","L80","12","199","4","T","X","L92.2","L922","4-044","3-059","2-072","1-082"
"5280","Foreign body granuloma of skin and subcutaneous tissue","L92.3","1339","L92","L80","12","199","4","T","X","L92.3","L923","4-044","3-059","2-072","1-082"
"5281","Other granulomatous disorders of skin and subcutaneous tissue","L92.8","1339","L92","L80","12","199","4","T","X","L92.8","L928","4-044","3-059","2-072","1-082"
"5282","Granulomatous disorder of skin and subcutaneous tissue, unspecified","L92.9","1339","L92","L80","12","199","4","T","X","L92.9","L929","4-044","3-059","2-072","1-082"
"5283","Lupus erythematosus","L93","1340","L93","L80","12","199","3","N","X","L93.-","L93","4-044","3-059","2-072","1-082"
"5284","Discoid lupus erythematosus","L93.0","1340","L93","L80","12","199","4","T","X","L93.0","L930","4-044","3-059","2-072","1-082"
"5285","Subacute cutaneous lupus erythematosus","L93.1","1340","L93","L80","12","199","4","T","X","L93.1","L931","4-044","3-059","2-072","1-082"
"5286","Other local lupus erythematosus","L93.2","1340","L93","L80","12","199","4","T","X","L93.2","L932","4-044","3-059","2-072","1-082"
"5287","Other localized connective tissue disorders","L94","1341","L94","L80","12","199","3","N","X","L94.-","L94","4-044","3-059","2-072","1-082"
"5288","Localized scleroderma [morphea]","L94.0","1341","L94","L80","12","199","4","T","X","L94.0","L940","4-044","3-059","2-072","1-082"
"5289","Linear scleroderma","L94.1","1341","L94","L80","12","199","4","T","X","L94.1","L941","4-044","3-059","2-072","1-082"
"5290","Calcinosis cutis","L94.2","1341","L94","L80","12","199","4","T","X","L94.2","L942","4-044","3-059","2-072","1-082"
"5291","Sclerodactyly","L94.3","1341","L94","L80","12","199","4","T","X","L94.3","L943","4-044","3-059","2-072","1-082"
"5292","Gottron papules","L94.4","1341","L94","L80","12","199","4","T","X","L94.4","L944","4-044","3-059","2-072","1-082"
"5293","Poikiloderma vasculare atrophicans","L94.5","1341","L94","L80","12","199","4","T","X","L94.5","L945","4-044","3-059","2-072","1-082"
"5294","Ainhum","L94.6","1341","L94","L80","12","199","4","T","X","L94.6","L946","4-044","3-059","2-072","1-082"
"5295","Other specified localized connective tissue disorders","L94.8","1341","L94","L80","12","199","4","T","X","L94.8","L948","4-044","3-059","2-072","1-082"
"5296","Localized connective tissue disorder, unspecified","L94.9","1341","L94","L80","12","199","4","T","X","L94.9","L949","4-044","3-059","2-072","1-082"
"5297","Vasculitis limited to skin, not elsewhere classified","L95","1342","L95","L80","12","199","3","N","X","L95.-","L95","4-044","3-059","2-072","1-082"
"5298","Livedoid vasculitis","L95.0","1342","L95","L80","12","199","4","T","X","L95.0","L950","4-044","3-059","2-072","1-082"
"5299","Erythema elevatum diutinum","L95.1","1342","L95","L80","12","199","4","T","X","L95.1","L951","4-044","3-059","2-072","1-082"
"5300","Other vasculitis limited to skin","L95.8","1342","L95","L80","12","199","4","T","X","L95.8","L958","4-044","3-059","2-072","1-082"
"5301","Vasculitis limited to skin, unspecified","L95.9","1342","L95","L80","12","199","4","T","X","L95.9","L959","4-044","3-059","2-072","1-082"
"5302","Ulcer of lower limb, not elsewhere classified","L97","1343","L97","L80","12","199","3","T","X","L97","L97","4-044","3-059","2-072","1-082"
"5303","Other disorders of skin and subcutaneous tissue, not elsewhere classified","L98","1344","L98","L80","12","199","3","N","X","L98.-","L98","4-044","3-059","2-072","1-082"
"5304","Pyogenic granuloma","L98.0","1344","L98","L80","12","199","4","T","X","L98.0","L980","4-044","3-059","2-072","1-082"
"5305","Factitial dermatitis","L98.1","1344","L98","L80","12","199","4","T","X","L98.1","L981","4-044","3-059","2-072","1-082"
"5306","Febrile neutrophilic dermatosis [Sweet]","L98.2","1344","L98","L80","12","199","4","T","X","L98.2","L982","4-044","3-059","2-072","1-082"
"5307","Eosinophilic cellulitis [Wells]","L98.3","1344","L98","L80","12","199","4","T","X","L98.3","L983","4-044","3-059","2-072","1-082"
"5308","Chronic ulcer of skin, not elsewhere classified","L98.4","1344","L98","L80","12","199","4","T","X","L98.4","L984","4-044","3-059","2-072","1-082"
"5309","Mucinosis of skin","L98.5","1344","L98","L80","12","199","4","T","X","L98.5","L985","4-044","3-059","2-072","1-082"
"5310","Other infiltrative disorders of skin and subcutaneous tissue","L98.6","1344","L98","L80","12","199","4","T","X","L98.6","L986","4-044","3-059","2-072","1-082"
"5311","Other specified disorders of skin and subcutaneous tissue","L98.8","1344","L98","L80","12","199","4","T","X","L98.8","L988","4-044","3-059","2-072","1-082"
